Mesoderm differentiates into all EXCEPT:;Skeletal and cardiac muscle derived from paraxial mesoderm;Bone and connective tissue derived from mesenchyme;Notochord acting as a mesodermal signaling structure;Central and peripheral nervous system derived from germ layers;D;<b>Question</b><br>Mesoderm differentiates into all EXCEPT:<br><br><b>Correct answer:</b> D — Nervous system<br><br><b>Core idea (exam focus)</b><br>Each germ layer gives rise to specific tissue systems.<br><br><b>Mechanism / reasoning</b><br><ul><li>Mesoderm forms muscle, bone, connective tissue, blood, notochord, cardiovascular and urogenital systems.</li><li>Nervous system derives from ectoderm (neural tube and neural crest).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> Muscle is mesodermal.</li><li><b>B:</b> Bone and connective tissue are mesodermal.</li><li><b>C:</b> Notochord is a mesodermal structure.</li></ul><br><b>Exam gold (high-yield)</b><br>Mesoderm = muscle, bone, blood; ectoderm = nervous system.

Which of the following is NOT included in the glycocalyx?;Proteoglycans bound to membrane proteins;Glycoproteins forming the cell surface coat;Glycolipids exposed on the outer membrane leaflet;Steroid molecules embedded within the membrane;D;<b>Question</b><br>Which of the following is NOT included in the glycocalyx?<br><br><b>Correct answer:</b> D — Steroid molecules<br><br><b>Core idea (exam focus)</b><br>The glycocalyx is a carbohydrate-rich surface layer.<br><br><b>Mechanism / reasoning</b><br><ul><li>Glycocalyx consists of carbohydrate chains of glycoproteins, proteoglycans, and glycolipids.</li><li>Steroids are lipid molecules, not carbohydrate components.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A–C:</b> All contribute carbohydrate chains to the glycocalyx.</li></ul><br><b>Exam gold (high-yield)</b><br>Think “glyco = sugar,” not lipid hormones.

Microtubules — which statement is TRUE?;They are composed of actin filaments arranged in helices;They consist of keratin protein subunits;They form a hollow cylinder of 13 protofilaments;They anchor intermediate filaments to desmosomes;C;<b>Question</b><br>Microtubules — which statement is TRUE?<br><br><b>Correct answer:</b> C — 13 protofilaments<br><br><b>Core idea (exam focus)</b><br>Structural organization of cytoskeletal elements.<br><br><b>Mechanism / reasoning</b><br><ul><li>Microtubules are polymers of α- and β-tubulin.</li><li>They form hollow tubes composed of 13 protofilaments.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> Actin forms microfilaments.</li><li><b>B:</b> Keratin forms intermediate filaments.</li><li><b>D:</b> Desmosomes link intermediate filaments.</li></ul><br><b>Exam gold (high-yield)</b><br>13 protofilaments = microtubules.

Which cell junction is NOT associated with the cytoskeleton?;Desmosomes linking intermediate filaments;Adherens junctions linked to actin;Hemidesmosomes anchoring cells to basal lamina;Gap junctions allowing ionic communication;D;<b>Question</b><br>Which cell junction is NOT associated with the cytoskeleton?<br><br><b>Correct answer:</b> D — Gap junctions<br><br><b>Core idea (exam focus)</b><br>Functional classification of cell junctions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Gap junctions consist of connexons for communication.</li><li>They do not provide mechanical cytoskeletal anchorage.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A–C:</b> All are structurally linked to cytoskeletal elements.</li></ul><br><b>Exam gold (high-yield)</b><br>Gap junctions = communication, not structure.

Optimal pH of lysosomal enzymes is:;Neutral pH around 7.4;Slightly alkaline pH around 8.0;Strongly acidic pH around 5.0;Variable depending on substrate;C;<b>Question</b><br>Optimal pH of lysosomal enzymes is:<br><br><b>Correct answer:</b> C — pH 5.0<br><br><b>Core idea (exam focus)</b><br>Functional environment of intracellular organelles.<br><br><b>Mechanism / reasoning</b><br><ul><li>Lysosomes contain acid hydrolases.</li><li>Low pH is maintained by proton pumps.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A, B:</b> Would inactivate lysosomal enzymes.</li><li><b>D:</b> pH is tightly regulated.</li></ul><br><b>Exam gold (high-yield)</b><br>Lysosome = acidic digestion.

The middle segment of a chromosome is called the:;Telomere;Kinetochore;Centromere;Chromatid;C;<b>Question</b><br>The middle segment of a chromosome is called the:<br><br><b>Correct answer:</b> C — Centromere<br><br><b>Core idea (exam focus)</b><br>Chromosome structural terminology.<br><br><b>Mechanism / reasoning</b><br><ul><li>The centromere connects sister chromatids.</li><li>It serves as the attachment site for spindle fibers.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> Telomeres are terminal ends.</li><li><b>B:</b> Kinetochore is a protein complex on the centromere.</li><li><b>D:</b> Chromatid is a structural unit.</li></ul><br><b>Exam gold (high-yield)</b><br>Centromere = middle + spindle attachment.

Which organelle is NOT part of the secretory pathway?;Rough endoplasmic reticulum;Golgi apparatus;Transport vesicles;Peroxisomes;D;<b>Question</b><br>Which organelle is NOT part of the secretory pathway?<br><br><b>Correct answer:</b> D — Peroxisomes<br><br><b>Core idea (exam focus)</b><br>Protein trafficking pathways.<br><br><b>Mechanism / reasoning</b><br><ul><li>Secretory pathway: RER → Golgi → vesicles.</li><li>Peroxisomes are autonomous metabolic organelles.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A–C:</b> Directly involved in protein secretion.</li></ul><br><b>Exam gold (high-yield)</b><br>Peroxisomes ≠ secretion.

Intermediate filaments are primarily responsible for:;Intracellular transport of vesicles;Cellular contraction and movement;Structural stability of the cell;ATP synthesis;C;<b>Question</b><br>Intermediate filaments are primarily responsible for:<br><br><b>Correct answer:</b> C — Structural stability<br><br><b>Core idea (exam focus)</b><br>Functional roles of cytoskeletal components.<br><br><b>Mechanism / reasoning</b><br><ul><li>Intermediate filaments resist mechanical stress.</li><li>They anchor cells at junctions.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> Microtubules handle transport.</li><li><b>B:</b> Actin mediates contraction.</li><li><b>D:</b> Mitochondria synthesize ATP.</li></ul><br><b>Exam gold (high-yield)</b><br>Intermediate filaments = strength.

Which germ layer gives rise to the nervous system?;Mesoderm;Endoderm;Ectoderm;Extraembryonic mesoderm;C;<b>Question</b><br>Which germ layer gives rise to the nervous system?<br><br><b>Correct answer:</b> C — Ectoderm<br><br><b>Core idea (exam focus)</b><br>Germ layer derivatives.<br><br><b>Mechanism / reasoning</b><br><ul><li>Ectoderm forms neural tube and neural crest.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> Mesoderm forms muscle and bone.</li><li><b>B:</b> Endoderm forms gut epithelium.</li><li><b>D:</b> Extraembryonic structures only.</li></ul><br><b>Exam gold (high-yield)</b><br>Ecto = neural.